"from","to","n"
"Ivory Coast (Cote d'Ivoire)","Lebanon",17758
"Ivory Coast (Cote d'Ivoire)","Malaysia",1000
"Ivory Coast (Cote d'Ivoire)","Maldives",9
"Ivory Coast (Cote d'Ivoire)","Myanmar",27
"Ivory Coast (Cote d'Ivoire)","Nepal",42
"Ivory Coast (Cote d'Ivoire)","Oman",59
"Ivory Coast (Cote d'Ivoire)","Pakistan",594
"Ivory Coast (Cote d'Ivoire)","Philippines",2972
"Ivory Coast (Cote d'Ivoire)","Qatar",144
"Ivory Coast (Cote d'Ivoire)","Saudi Arabia",2382
"Ivory Coast (Cote d'Ivoire)","Singapore",1139
"Ivory Coast (Cote d'Ivoire)","South Korea",484
"Ivory Coast (Cote d'Ivoire)","Sri Lanka",121
"Ivory Coast (Cote d'Ivoire)","Taiwan",69
"Ivory Coast (Cote d'Ivoire)","Thailand",844
"Ivory Coast (Cote d'Ivoire)","Turkey",4108
"Ivory Coast (Cote d'Ivoire)","United Arab Emirates",9858
"Ivory Coast (Cote d'Ivoire)","Vietnam",481
"Kenya","Afghanistan",104
"Kenya","Bahrain",3647
"Kenya","Bangladesh",1344
"Kenya","Brunei Darussalam",7
"Kenya","Cambodia",247
"Kenya","China",67670
"Kenya","Cyprus",1520
"Kenya","Fiji",59
"Kenya","Hong Kong",9929
"Kenya","India",110811
"Kenya","Indonesia",1736
"Kenya","Iran",554
"Kenya","Iraq",2367
"Kenya","Japan",8852
"Kenya","Jordan",3452
"Kenya","Kazakhstan",101
"Kenya","Kuwait",1711
"Kenya","Kyrgyzstan",20
"Kenya","Laos",10
"Kenya","Lebanon",3251
"Kenya","Macau",10
"Kenya","Malaysia",5466
"Kenya","Maldives",528
"Kenya","Micronesia",4
"Kenya","Mongolia",50
"Kenya","Myanmar",372
"Kenya","Nepal",894
"Kenya","Oman",11330
"Kenya","Pakistan",6305
"Kenya","Palau",1
"Kenya","Papua New Guinea",36
"Kenya","Philippines",2346
"Kenya","Qatar",26721
"Kenya","Saudi Arabia",34035
"Kenya","Singapore",3666
"Kenya","Solomon Islands",2
"Kenya","South Korea",5169
"Kenya","Sri Lanka",3913
"Kenya","Taiwan",2735
"Kenya","Tajikistan",195
"Kenya","Thailand",10150
"Kenya","Turkey",23420
"Kenya","Turkmenistan",8
"Kenya","United Arab Emirates",136636
"Kenya","Uzbekistan",25
"Kenya","Vietnam",3180
"Liberia","Bangladesh",153
"Liberia","Cambodia",2
"Liberia","China",2702
"Liberia","Hong Kong",25
"Liberia","India",1328
"Liberia","Indonesia",153
"Liberia","Iran",2
"Liberia","Japan",8
"Liberia","Jordan",10
"Liberia","Kazakhstan",13
"Liberia","Kuwait",4
"Liberia","Kyrgyzstan",3
"Liberia","Lebanon",2650
"Liberia","Malaysia",601
"Liberia","Nepal",10
"Liberia","Pakistan",291
"Liberia","Philippines",66
"Liberia","Qatar",1037
"Liberia","Saudi Arabia",26
"Liberia","Singapore",22
"Liberia","South Korea",14
"Liberia","Sri Lanka",6
"Liberia","Thailand",28
"Liberia","Turkey",4047
"Liberia","United Arab Emirates",316
"Liberia","Vietnam",15
"Mali","Afghanistan",8
"Mali","Bahrain",22
"Mali","Bangladesh",428
"Mali","Cambodia",79
"Mali","China",5648
"Mali","Cyprus",13
"Mali","Fiji",6
"Mali","Hong Kong",1223
"Mali","India",2663
"Mali","Indonesia",288
"Mali","Iran",30
"Mali","Iraq",10
"Mali","Japan",376
"Mali","Jordan",146
"Mali","Kazakhstan",13
"Mali","Kuwait",2279
"Mali","Kyrgyzstan",4
"Mali","Laos",7
"Mali","Lebanon",1176
"Mali","Malaysia",59
"Mali","Nepal",126
"Mali","Oman",44
"Mali","Pakistan",284
"Mali","Philippines",174
"Mali","Qatar",313
"Mali","Saudi Arabia",2835
"Mali","Singapore",224
"Mali","South Korea",133
"Mali","Sri Lanka",21
"Mali","Taiwan",6
"Mali","Tajikistan",7
"Mali","Thailand",672
"Mali","Turkey",3989
"Mali","United Arab Emirates",3827
"Mali","Uzbekistan",17
"Mali","Vietnam",25
"Mauritania","Afghanistan",25
"Mauritania","Bahrain",102
"Mauritania","Bangladesh",37
"Mauritania","China",3646
"Mauritania","Hong Kong",721
"Mauritania","India",1730
"Mauritania","Indonesia",20
"Mauritania","Iraq",18
"Mauritania","Japan",183
"Mauritania","Jordan",208
"Mauritania","Kuwait",208
"Mauritania","Kyrgyzstan",5
"Mauritania","Lebanon",1994
"Mauritania","Malaysia",111
"Mauritania","Maldives",9
"Mauritania","Mongolia",16
"Mauritania","Nepal",3
"Mauritania","Oman",162
"Mauritania","Pakistan",393
"Mauritania","Philippines",165
"Mauritania","Qatar",1189
"Mauritania","Saudi Arabia",2722
"Mauritania","Singapore",10
"Mauritania","South Korea",30
"Mauritania","Sri Lanka",61
"Mauritania","Taiwan",7
"Mauritania","Tajikistan",4
"Mauritania","Thailand",31
"Mauritania","Turkey",6863
"Mauritania","Turkmenistan",4
"Mauritania","United Arab Emirates",3400
"Mauritania","Uzbekistan",2
"Mauritania","Yemen",1
"Niger","Bahrain",2
"Niger","Bangladesh",3
"Niger","Cambodia",2
"Niger","China",5802
"Niger","Cyprus",3
"Niger","Hong Kong",194
"Niger","India",1472
"Niger","Indonesia",20
"Niger","Iran",10
"Niger","Japan",88
"Niger","Jordan",312
"Niger","Kuwait",315
"Niger","Lebanon",647
"Niger","Malaysia",16
"Niger","Nepal",23
"Niger","Oman",8
"Niger","Pakistan",123
"Niger","Philippines",21
"Niger","Qatar",187
"Niger","Saudi Arabia",2332
"Niger","Singapore",15
"Niger","South Korea",87
"Niger","Taiwan",8
"Niger","Tajikistan",7
"Niger","Thailand",92
"Niger","Turkey",2336
"Niger","United Arab Emirates",4644
"Niger","Uzbekistan",3
"Niger","Vietnam",2
"Nigeria","Afghanistan",14
"Nigeria","Bahrain",568
"Nigeria","Bangladesh",1193
"Nigeria","Cambodia",1138
"Nigeria","China",80816
"Nigeria","Cyprus",1907
"Nigeria","Fiji",57
"Nigeria","Hong Kong",8139
"Nigeria","India",59573
"Nigeria","Indonesia",4241
"Nigeria","Iran",395
"Nigeria","Iraq",234
"Nigeria","Japan",3203
"Nigeria","Jordan",1154
"Nigeria","Kazakhstan",117
"Nigeria","Kuwait",1009
"Nigeria","Kyrgyzstan",13
"Nigeria","Laos",9
"Nigeria","Lebanon",14835
"Nigeria","Malaysia",14006
"Nigeria","Maldives",169
"Nigeria","Mongolia",18
"Nigeria","Myanmar",46
"Nigeria","Nepal",120
"Nigeria","Oman",4372
"Nigeria","Pakistan",3318
"Nigeria","Palau",22
"Nigeria","Papua New Guinea",12
"Nigeria","Philippines",4329
"Nigeria","Qatar",9793
"Nigeria","Saudi Arabia",65102
"Nigeria","Singapore",2806
"Nigeria","Solomon Islands",11
"Nigeria","South Korea",3944
"Nigeria","Sri Lanka",703
"Nigeria","Taiwan",531
"Nigeria","Tajikistan",4
"Nigeria","Thailand",4885
"Nigeria","Tonga",2
"Nigeria","Turkey",23234
"Nigeria","Turkmenistan",8
"Nigeria","United Arab Emirates",136031
"Nigeria","Uzbekistan",7
"Nigeria","Vietnam",1613
"Nigeria","Western Samoa",18
"Panama","Afghanistan",17
"Panama","Bahrain",154
"Panama","Bangladesh",114
"Panama","Cambodia",2
"Panama","China",19653
"Panama","Cyprus",42
"Panama","Hong Kong",2139
"Panama","India",3138
"Panama","Indonesia",310
"Panama","Iran",37
"Panama","Iraq",6
"Panama","Japan",1557
"Panama","Jordan",172
"Panama","Kazakhstan",70
"Panama","Kuwait",170
"Panama","Laos",14
"Panama","Lebanon",1204
"Panama","Macau",16
"Panama","Malaysia",343
"Panama","Maldives",26
"Panama","Marshall Islands",6
"Panama","Mongolia",3
"Panama","Myanmar",32
"Panama","Nepal",4
"Panama","Oman",91
"Panama","Pakistan",169
"Panama","Philippines",4177
"Panama","Qatar",91
"Panama","Saudi Arabia",218
"Panama","Singapore",688
"Panama","South Korea",1295
"Panama","Sri Lanka",72
"Panama","Taiwan",1276
"Panama","Thailand",982
"Panama","Turkey",1356
"Panama","Turkmenistan",2
"Panama","United Arab Emirates",1598
"Panama","Uzbekistan",3
"Panama","Vietnam",398
"Paraguay","Bangladesh",22
"Paraguay","China",410
"Paraguay","Hong Kong",71
"Paraguay","India",234
"Paraguay","Indonesia",7
"Paraguay","Japan",1055
"Paraguay","Jordan",3
"Paraguay","Kuwait",22
"Paraguay","Lebanon",123
"Paraguay","Malaysia",11
"Paraguay","Pakistan",9
"Paraguay","Philippines",3
"Paraguay","Qatar",20
"Paraguay","Saudi Arabia",11
"Paraguay","Singapore",2
"Paraguay","South Korea",668
"Paraguay","Taiwan",296
"Paraguay","Thailand",39
"Paraguay","Turkey",147
"Paraguay","United Arab Emirates",129
"Peru","Afghanistan",4
"Peru","Bahrain",39
"Peru","Bangladesh",23
"Peru","Brunei Darussalam",5
"Peru","Cambodia",22
"Peru","China",22181
"Peru","Cyprus",30
"Peru","Fiji",22
"Peru","Hong Kong",8386
"Peru","India",1593
"Peru","Indonesia",1289
"Peru","Iran",14
"Peru","Iraq",3
"Peru","Japan",26752
"Peru","Jordan",37
"Peru","Kazakhstan",17
"Peru","Kuwait",13
"Peru","Laos",2
"Peru","Lebanon",127
"Peru","Malaysia",1011
"Peru","Maldives",6
"Peru","Mongolia",4
"Peru","Myanmar",10
"Peru","Nepal",30
"Peru","Oman",64
"Peru","Pakistan",41
"Peru","Papua New Guinea",23
"Peru","Philippines",1870
"Peru","Qatar",323
"Peru","Saudi Arabia",101
"Peru","Singapore",1301
"Peru","Solomon Islands",2
"Peru","South Korea",8016
"Peru","Sri Lanka",52
"Peru","Taiwan",2080
"Peru","Thailand",1168
"Peru","Turkey",1316
"Peru","United Arab Emirates",844
"Peru","Uzbekistan",2
"Peru","Vietnam",608
"Rwanda","Afghanistan",23
"Rwanda","Bahrain",4
"Rwanda","Bangladesh",86
"Rwanda","Cambodia",10
"Rwanda","China",4445
"Rwanda","Cyprus",66
"Rwanda","Hong Kong",884
"Rwanda","India",4063
"Rwanda","Indonesia",78
"Rwanda","Iran",45
"Rwanda","Iraq",26
"Rwanda","Japan",792
"Rwanda","Jordan",71
"Rwanda","Kazakhstan",16
"Rwanda","Kuwait",41
"Rwanda","Laos",11
"Rwanda","Lebanon",186
"Rwanda","Malaysia",130
"Rwanda","Mongolia",3
"Rwanda","Myanmar",13
"Rwanda","Nepal",82
"Rwanda","Oman",1365
"Rwanda","Pakistan",239
"Rwanda","Papua New Guinea",3
"Rwanda","Philippines",247
"Rwanda","Qatar",1758
"Rwanda","Saudi Arabia",287
"Rwanda","Singapore",206
"Rwanda","South Korea",971
"Rwanda","Sri Lanka",179
"Rwanda","Taiwan",17
"Rwanda","Tajikistan",1
"Rwanda","Thailand",572
"Rwanda","Turkey",2513
"Rwanda","United Arab Emirates",9814
"Rwanda","Vietnam",60
"Rwanda","Western Samoa",2
"Sao Tome and Principe","China",92
"Sao Tome and Principe","Turkey",5
"Senegal","Afghanistan",42
"Senegal","Bahrain",87
"Senegal","Bangladesh",168
"Senegal","Cambodia",16
"Senegal","China",9906
"Senegal","Cyprus",59
"Senegal","Fiji",2
"Senegal","Hong Kong",1942
"Senegal","India",7285
"Senegal","Indonesia",381
"Senegal","Iran",206
"Senegal","Iraq",12
"Senegal","Japan",1845
"Senegal","Jordan",328
"Senegal","Kazakhstan",40
"Senegal","Kuwait",650
"Senegal","Kyrgyzstan",20
"Senegal","Lebanon",3374
"Senegal","Macau",10
"Senegal","Malaysia",717
"Senegal","Maldives",22
"Senegal","Myanmar",24
"Senegal","Nepal",149
"Senegal","Oman",135
"Senegal","Pakistan",394
"Senegal","Philippines",1095
"Senegal","Qatar",317
"Senegal","Saudi Arabia",4377
"Senegal","Singapore",344
"Senegal","South Korea",920
"Senegal","Sri Lanka",217
"Senegal","Taiwan",48
"Senegal","Tajikistan",12
"Senegal","Thailand",1416
"Senegal","Turkey",6207
"Senegal","United Arab Emirates",20317
"Senegal","Vietnam",207
"Sierra Leone","Bahrain",34
"Sierra Leone","Bangladesh",82
"Sierra Leone","Cambodia",10
"Sierra Leone","China",4964
"Sierra Leone","Hong Kong",135
"Sierra Leone","India",1068
"Sierra Leone","Indonesia",19
"Sierra Leone","Iraq",1
"Sierra Leone","Japan",180
"Sierra Leone","Jordan",21
"Sierra Leone","Kuwait",138
"Sierra Leone","Lebanon",1838
"Sierra Leone","Malaysia",17
"Sierra Leone","Nepal",10
"Sierra Leone","Oman",18
"Sierra Leone","Pakistan",175
"Sierra Leone","Papua New Guinea",7
"Sierra Leone","Philippines",42
"Sierra Leone","Qatar",892
"Sierra Leone","Saudi Arabia",232
"Sierra Leone","Singapore",51
"Sierra Leone","South Korea",175
"Sierra Leone","Sri Lanka",46
"Sierra Leone","Thailand",102
"Sierra Leone","Turkey",491
"Sierra Leone","United Arab Emirates",770
"Sierra Leone","Vietnam",32
"Somalia","Afghanistan",79
"Somalia","Bahrain",80
"Somalia","Bangladesh",68
"Somalia","China",251
"Somalia","Cyprus",8
"Somalia","Hong Kong",57
"Somalia","India",980
"Somalia","Indonesia",3
"Somalia","Iran",81
"Somalia","Iraq",73
"Somalia","Japan",3
"Somalia","Jordan",100
"Somalia","Kazakhstan",32
"Somalia","Kuwait",481
"Somalia","Kyrgyzstan",44
"Somalia","Lebanon",240
"Somalia","Malaysia",137
"Somalia","Oman",175
"Somalia","Pakistan",445
"Somalia","Philippines",5
"Somalia","Qatar",861
"Somalia","Saudi Arabia",8162
"Somalia","Sri Lanka",19
"Somalia","Taiwan",2
"Somalia","Tajikistan",43
"Somalia","Thailand",60
"Somalia","Turkey",3822
"Somalia","Turkmenistan",38
"Somalia","United Arab Emirates",34934
"Somalia","Vietnam",2
"South Sudan","Afghanistan",167
"South Sudan","Bahrain",45
"South Sudan","Bangladesh",585
"South Sudan","Cambodia",29
"South Sudan","China",3797
"South Sudan","Cyprus",34
"South Sudan","Hong Kong",129
"South Sudan","India",2764
"South Sudan","Indonesia",92
"South Sudan","Iran",40
"South Sudan","Iraq",165
"South Sudan","Japan",229
"South Sudan","Jordan",146
"South Sudan","Kazakhstan",36
"South Sudan","Kuwait",26
"South Sudan","Kyrgyzstan",13
"South Sudan","Lebanon",1562
"South Sudan","Malaysia",455
"South Sudan","Maldives",65
"South Sudan","Myanmar",30
"South Sudan","Nepal",60
"South Sudan","Oman",59
"South Sudan","Pakistan",2303
"South Sudan","Philippines",58
"South Sudan","Qatar",284
"South Sudan","Saudi Arabia",917
"South Sudan","Singapore",9
"South Sudan","South Korea",104
"South Sudan","Sri Lanka",84
"South Sudan","Taiwan",3
"South Sudan","Tajikistan",22
"South Sudan","Thailand",579
"South Sudan","Turkey",293
"South Sudan","United Arab Emirates",11230
"South Sudan","Vietnam",85
"Sudan","Afghanistan",3542
"Sudan","Bahrain",35074
"Sudan","Bangladesh",4205
"Sudan","Brunei Darussalam",16
"Sudan","Cambodia",29
"Sudan","China",15788
"Sudan","Cyprus",139
"Sudan","Fiji",2
"Sudan","Hong Kong",1180
"Sudan","India",15279
"Sudan","Indonesia",1802
"Sudan","Iran",8794
"Sudan","Iraq",7068
"Sudan","Japan",2163
"Sudan","Jordan",22434
"Sudan","Kazakhstan",3061
"Sudan","Kuwait",12806
"Sudan","Kyrgyzstan",617
"Sudan","Laos",3
"Sudan","Lebanon",9535
"Sudan","Malaysia",3692
"Sudan","Maldives",1318
"Sudan","Mongolia",3
"Sudan","Myanmar",40
"Sudan","Nepal",878
"Sudan","Oman",14335
"Sudan","Pakistan",10126
"Sudan","Papua New Guinea",2
"Sudan","Philippines",516
"Sudan","Qatar",96619
"Sudan","Saudi Arabia",483063
"Sudan","Singapore",847
"Sudan","South Korea",315
"Sudan","Sri Lanka",824
"Sudan","Syria",14688
"Sudan","Taiwan",132
"Sudan","Tajikistan",479
"Sudan","Thailand",1664
"Sudan","Turkey",29153
"Sudan","Turkmenistan",1467
"Sudan","United Arab Emirates",163663
"Sudan","Uzbekistan",82
"Sudan","Vietnam",92
"Suriname","Cambodia",3
"Suriname","China",3179
"Suriname","Hong Kong",446
"Suriname","India",487
"Suriname","Indonesia",70
"Suriname","Iran",2
"Suriname","Japan",13
"Suriname","Kazakhstan",3
"Suriname","Kuwait",10
"Suriname","Malaysia",345
"Suriname","Mongolia",7
"Suriname","Pakistan",11
"Suriname","Philippines",577
"Suriname","Qatar",11
"Suriname","Saudi Arabia",5
"Suriname","Singapore",36
"Suriname","South Korea",10
"Suriname","Taiwan",47
"Suriname","Thailand",15
"Suriname","Turkey",174
"Suriname","United Arab Emirates",90
"Suriname","Vietnam",158
"Tanzania","Afghanistan",307
"Tanzania","Bahrain",589
"Tanzania","Bangladesh",603
"Tanzania","Cambodia",218
"Tanzania","China",35282
"Tanzania","Cyprus",211
"Tanzania","Fiji",2
"Tanzania","Hong Kong",7280
"Tanzania","India",63095
"Tanzania","Indonesia",1099
"Tanzania","Iran",1809
"Tanzania","Iraq",1292
"Tanzania","Japan",4189
"Tanzania","Jordan",955
"Tanzania","Kazakhstan",182
"Tanzania","Kuwait",2230
"Tanzania","Kyrgyzstan",109
"Tanzania","Laos",21
"Tanzania","Lebanon",2585
"Tanzania","Malaysia",2012
"Tanzania","Maldives",123
"Tanzania","Mongolia",13
"Tanzania","Myanmar",68
"Tanzania","Nepal",422
"Tanzania","Oman",49003
"Tanzania","Pakistan",6961
"Tanzania","Papua New Guinea",38
"Tanzania","Philippines",1561
"Tanzania","Qatar",13440
"Tanzania","Saudi Arabia",4387
"Tanzania","Singapore",1566
"Tanzania","South Korea",3349
"Tanzania","Sri Lanka",1077
"Tanzania","Taiwan",362
"Tanzania","Tajikistan",29
"Tanzania","Thailand",3445
"Tanzania","Turkey",10649
"Tanzania","Turkmenistan",5
"Tanzania","United Arab Emirates",57519
"Tanzania","Uzbekistan",19
"Tanzania","Vietnam",455
"Togo","Bahrain",13
"Togo","Bangladesh",3
"Togo","Cambodia",2
"Togo","China",5029
"Togo","Cyprus",4
"Togo","Fiji",4
"Togo","Hong Kong",1248
"Togo","India",2778
"Togo","Indonesia",14
"Togo","Iran",3
"Togo","Iraq",3
"Togo","Japan",137
"Togo","Jordan",18
"Togo","Kazakhstan",14
"Togo","Kuwait",152
"Togo","Lebanon",784
"Togo","Malaysia",76
"Togo","Oman",19
"Togo","Pakistan",118
"Togo","Philippines",1875
"Togo","Qatar",128
"Togo","Saudi Arabia",522
"Togo","Singapore",36
"Togo","South Korea",198
"Togo","Sri Lanka",3
"Togo","Thailand",361
"Togo","Turkey",814
"Togo","United Arab Emirates",1282
"Togo","Vietnam",42
"Trinidad and Tobago","Bahrain",103
"Trinidad and Tobago","Bangladesh",50
"Trinidad and Tobago","China",160
"Trinidad and Tobago","Cyprus",6
"Trinidad and Tobago","Fiji",17
"Trinidad and Tobago","Hong Kong",53
"Trinidad and Tobago","India",1062
"Trinidad and Tobago","Indonesia",19
"Trinidad and Tobago","Iran",7
"Trinidad and Tobago","Iraq",3
"Trinidad and Tobago","Japan",250
"Trinidad and Tobago","Kuwait",37
"Trinidad and Tobago","Lebanon",63
"Trinidad and Tobago","Malaysia",74
"Trinidad and Tobago","Maldives",110
"Trinidad and Tobago","Nepal",2
"Trinidad and Tobago","Oman",43
"Trinidad and Tobago","Pakistan",38
"Trinidad and Tobago","Philippines",475
"Trinidad and Tobago","Qatar",69
"Trinidad and Tobago","Saudi Arabia",143
"Trinidad and Tobago","Singapore",100
"Trinidad and Tobago","Solomon Islands",3
"Trinidad and Tobago","South Korea",48
"Trinidad and Tobago","Sri Lanka",7
"Trinidad and Tobago","Taiwan",4
"Trinidad and Tobago","Thailand",49
"Trinidad and Tobago","Turkey",142
"Trinidad and Tobago","United Arab Emirates",222
"Trinidad and Tobago","Uzbekistan",3
"Trinidad and Tobago","Western Samoa",6
"Uganda","Afghanistan",702
"Uganda","Bahrain",430
"Uganda","Bangladesh",1153
"Uganda","Brunei Darussalam",2
"Uganda","Cambodia",252
"Uganda","China",29313
"Uganda","Cyprus",235
"Uganda","Fiji",18
"Uganda","Hong Kong",5171
"Uganda","India",48449
"Uganda","Indonesia",502
"Uganda","Iran",259
"Uganda","Iraq",1338
"Uganda","Japan",2597
"Uganda","Jordan",1365
"Uganda","Kazakhstan",69
"Uganda","Kuwait",676
"Uganda","Kyrgyzstan",318
"Uganda","Laos",4
"Uganda","Lebanon",1434
"Uganda","Macau",4
"Uganda","Malaysia",996
"Uganda","Maldives",11
"Uganda","Mongolia",22
"Uganda","Myanmar",19
"Uganda","Nepal",438
"Uganda","Oman",5952
"Uganda","Pakistan",4413
"Uganda","Papua New Guinea",36
"Uganda","Philippines",515
"Uganda","Qatar",4142
"Uganda","Saudi Arabia",2424
"Uganda","Singapore",433
"Uganda","South Korea",2201
"Uganda","Sri Lanka",1463
"Uganda","Taiwan",531
"Uganda","Tajikistan",166
"Uganda","Thailand",2232
"Uganda","Turkey",7463
"Uganda","Turkmenistan",29
"Uganda","United Arab Emirates",48463
"Uganda","Uzbekistan",24
"Uganda","Vietnam",416
"Venezuela","Bahrain",90
"Venezuela","Bangladesh",8
"Venezuela","Brunei Darussalam",8
"Venezuela","China",31016
"Venezuela","Cyprus",80
"Venezuela","Hong Kong",2423
"Venezuela","India",548
"Venezuela","Indonesia",95
"Venezuela","Iran",120
"Venezuela","Iraq",9
"Venezuela","Japan",1216
"Venezuela","Jordan",264
"Venezuela","Kazakhstan",23
"Venezuela","Kuwait",155
"Venezuela","Laos",2
"Venezuela","Lebanon",5998
"Venezuela","Malaysia",126
"Venezuela","Oman",78
"Venezuela","Philippines",474
"Venezuela","Qatar",96
"Venezuela","Saudi Arabia",681
"Venezuela","Singapore",119
"Venezuela","South Korea",816
"Venezuela","Sri Lanka",5
"Venezuela","Taiwan",34
"Venezuela","Thailand",71
"Venezuela","Turkey",1399
"Venezuela","United Arab Emirates",918
"Venezuela","Uzbekistan",1
"Venezuela","Vietnam",52
"Zambia","Afghanistan",23
"Zambia","Bahrain",55
"Zambia","Bangladesh",278
"Zambia","Cambodia",64
"Zambia","China",28819
"Zambia","Cyprus",269
"Zambia","Fiji",5
"Zambia","Hong Kong",5512
"Zambia","India",26837
"Zambia","Indonesia",298
"Zambia","Iran",76
"Zambia","Iraq",20
"Zambia","Japan",1442
"Zambia","Jordan",85
"Zambia","Kazakhstan",3
"Zambia","Kuwait",110
"Zambia","Laos",2
"Zambia","Lebanon",2133
"Zambia","Malaysia",860
"Zambia","Maldives",68
"Zambia","Mongolia",1
"Zambia","Myanmar",20
"Zambia","Nepal",131
"Zambia","Oman",99
"Zambia","Pakistan",670
"Zambia","Philippines",865
"Zambia","Qatar",110
"Zambia","Saudi Arabia",540
"Zambia","Singapore",209
"Zambia","South Korea",670
"Zambia","Sri Lanka",410
"Zambia","Taiwan",84
"Zambia","Thailand",1046
"Zambia","Turkey",926
"Zambia","Turkmenistan",6
"Zambia","United Arab Emirates",13325
"Zambia","Vietnam",98
